카테고리,상품URL,이미지URL,문제텍스트,금칙어
패션잡화,https://www.shoppingntmall.com/display/goods/21865636?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/21865636/proxy/src/https://img.shoppingntmall.com/htmleditor/377/SH%20116%20%28%EC%97%90%EC%8A%A4%EB%8B%89%29%20%EC%83%81%EC%84%B8%20%28%EC%87%BC%ED%95%91%EC%97%94%ED%8B%B0%291748391764210.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+3600/optimize,REAL REVIEW  편안한 착화감을 경험해본  고객님들의 실제 후기!  수 송송 숭  발에착감기는느낌이네요.  통굽웨지 샌들인데도 불,감기
패션잡화,https://www.shoppingntmall.com/display/goods/21865636?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/21865636/proxy/src/https://img.shoppingntmall.com/htmleditor/377/SH%20116%20%28%EC%97%90%EC%8A%A4%EB%8B%89%29%20%EC%83%81%EC%84%B8%20%28%EC%87%BC%ED%95%91%EC%97%94%ED%8B%B0%291748391764210.jpg/dims/crop/0x8400+0+50400/dims/crop/0x1200+0+1200/optimize,INFO  제조년월  사이즈  제조국  취급주의사항  슈리오헤라 소가죽 키높이 샌들  브라운 / 블랙 / 올리브그린 / 화이트  (쥐슈리오  조:      합성. 창 - 폴리우레탄 합성고무 2025년5월  225~250mm (5mm 편차)  중국 - 가벼운 오염의 경우 부드러운 솔이나 PHOS HOY. -직사광선이나 화기는 피해주십시오. - 신발이 젖었을 때에는 신발안에 신문지나 종이를 넣어서 통풍이 잘 되는 그늘에 말려 주십시오.  DELIVERY,통풍
패션잡화,https://www.shoppingntmall.com/display/goods/19970404?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/19970404/proxy/src/https://img.shoppingntmall.com/htmleditor/090/ecoe_24FW_maryjane_041724636591024.jpg/dims/crop/0x8400+0+8400/dims/crop/0x0+0+1200/optimize,"소재                  내피 - 합성가죽 창-606 제조원                 WEIHAI HEYUAN IMP AND EXP 00. LTD 제조국               중국 수입/판매원          주현주무역 제조년월             2024년 8월~ ㅅ5연락처         쥐줌마케팅 02-2679-9698 + 통풍이 잘 되는 곳에 보관해주세요. + 물에 젖었을 경우 마른 수건으로 HES 응달에서 말려주세요 + 날카로운 물질에 걸리거나 심하게 당을 경우 갑피 소재의 끊어짐이나 늘어짐이 발생할 수 있으므. 취급시                  eh es iret    OSE 주의사항                  Solan          i""  고온의 물 또는 화기에 노출 형태가 변형되거나 훼손될 수  될 경우 갑피 및 겉창의  있습니다. 상기 제품  경우에는 4/5규정에 해당하지 않습니다. 밝은 색상의 양말이나 스타킹을 신고 착용시  at 여성  이염이 발생할 + 있으니  EAS  주의하시기 바랍니다.  훼손의",통풍
패션잡화,https://www.shoppingntmall.com/display/goods/21479129?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/21479129/proxy/src/https://img.shoppingntmall.com/htmleditor/901/%EB%A5%B4%EB%AF%B8%EC%97%90%EB%A5%B4_%EB%AC%B4%EA%B2%8C%20238g1750408221855.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+3600/optimize,Lavender                  Silver  Green                       Red,av
패션잡화,https://www.shoppingntmall.com/display/goods/21474654?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/21474654/proxy/src/https://img.shoppingntmall.com/htmleditor/860/SH%20113%28%EC%BF%A8%EB%B0%B4%EB%93%9C%EB%A9%94%EC%89%AC%29%20%EC%83%81%EC%84%B8%ED%8E%98%EC%9D%B4%EC%A7%80%20%28ST%291747108374111.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+7200/optimize,"DETAIL  에 [으  시원한  ]하  ㅇ  _  |증반으 는  ZA  =  av  !증받 ld, 경량성  01  메쉬 소재  |능성 메쉬 소재로 제작되어 성, 내구성 모두 잡았습니다.",av
패션잡화,https://www.shoppingntmall.com/display/goods/21474654?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/21474654/proxy/src/https://img.shoppingntmall.com/htmleditor/860/SH%20113%28%EC%BF%A8%EB%B0%B4%EB%93%9C%EB%A9%94%EC%89%AC%29%20%EC%83%81%EC%84%B8%ED%8E%98%EC%9D%B4%EC%A7%80%20%28ST%291747108374111.jpg/dims/crop/0x8400+0+8400/dims/crop/0x1200+0+1200/optimize,DETAIL 03  공기 순환을 도와주는 소재  한여름에도 답답함 없이 통풍되어 열기는 빠르게 빠지고 상쾌함은 오래 유지됩니다.,통풍
패션잡화,https://www.shoppingntmall.com/display/goods/21474654?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/21474654/proxy/src/https://img.shoppingntmall.com/htmleditor/860/SH%20113%28%EC%BF%A8%EB%B0%B4%EB%93%9C%EB%A9%94%EC%89%AC%29%20%EC%83%81%EC%84%B8%ED%8E%98%EC%9D%B4%EC%A7%80%20%28ST%291747108374111.jpg/dims/crop/0x8400+0+50400/dims/crop/0x1200+0+1200/optimize,INFO  취급주의사항  슈리오 쿨매쉬 샌들 스니커즈 블랙 / 블루 / 그레이 / 화이트  (주)슈리오  갑피 - 폴리에스터 100% 인조가죽  내피 - 폴리에스터 100% 창-폴리우레탄-합성고무  2025년 4월  225~250mm (5mm 편차)  중국 - 가벼운 오염의 경우 부드러운 SOL} BHOM HOPEUALS. -직사광선이나화기는 피해주십시오. - 신발이 젖었을 때에는 신발안에 신문지나 통풍이 잘 되는 그늘에 말려 주십시오.,통풍
패션잡화,https://www.shoppingntmall.com/display/goods/21455728?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/21455728/proxy/src/https://img.shoppingntmall.com/htmleditor/589/ecoe_shirringsandal_051747615077685.jpg/dims/crop/0x0+0+6000/optimize,"WEIHAI HEYUAN IMP AND EXP CO,.LTD  중국  수입/판매원            주현주무역 제조년월                2025년 4월 ㅅ5연락처             쥐현주무역 051-301-5662  + 통풍이 잘 되는 곳에 보관해주세요.  + 물에 젖었을 경우 마른 수건으로 YE 후 응달에서  말려주세요.  ㆍ 날카로운 물질에 걸리거나 심하게 당을 경우  취급시                       갑피 소재의 끊어짐이나 늘어짐이 발생할 수 있으므로  주의사항  사용시주의하시기 바랍니다.  고몬의 물 또는 화기에 노출될 경우 갑피 및 겉창의  형태가 변형되거나훼손될 수 있습니다.상기제품훼손의 경우에는 4/5규정에 해당하지 않습니다.  밝은 색상의 양말이나 스타킹을 신고 착용시  이염이 발생할 수 있으니 주의하시기 바랍니다.",통풍
패션잡화,https://www.shoppingntmall.com/display/goods/18879887?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/18879887/proxy/src/https://img.shoppingntmall.com/htmleditor/311/%EC%9B%B9%EA%B8%B0%EC%88%A0%EC%84%9C%20%EC%88%98%EC%A0%952342341733375751297.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/optimize,hd Travel Story  23 (기내용 21형+ dees 26%!) 구성  en |,av
패션잡화,https://www.shoppingntmall.com/display/goods/18879887?dispCatSn=90000353,https://img.shoppingntmall.com/display/goods/detail/describe/18879887/proxy/src/https://img.shoppingntmall.com/htmleditor/311/%EC%9B%B9%EA%B8%B0%EC%88%A0%EC%84%9C%20%EC%88%98%EC%A0%952342341733375751297.jpg/dims/crop/0x8400+0+8400/dims/crop/0x1200+0+1200/optimize,nd Travel Story  5)                                                                                              — (ieee a       (                                | '       1                                   ~                                                                                                                  — vi                     ㅣ                                                         [,av
